epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9217,1.24584,5.08641,0.00949,0.00425,0.58384,0.10386,0.0846,0.69674,6.56911,0.00647,0.000515976,0.000515976,0.000515976
2,21.3706,1.03985,4.24584,0.00772,0.00605,0.76061,0.15893,0.13031,0.82359,6.39274,0.00837,0.00105042,0.00105042,0.00105042
3,27.482,1.09343,4.37561,0.00937,0.57196,0.31818,0.26417,0.20906,0.79867,6.12394,0.00843,0.00156287,0.00156287,0.00156287
4,33.4548,1.16244,3.74057,0.01004,0.00612,0.65859,0.28321,0.20341,0.898,6.1637,0.00992,0.00156798,0.00156798,0.00156798
5,39.4291,1.17452,3.49778,0.0104,0.72087,0.2354,0.4487,0.34832,0.87178,5.51887,0.00981,0.00153497,0.00153497,0.00153497
6,45.3591,1.17749,3.2017,0.01055,0.78439,0.38889,0.5789,0.42855,0.94808,5.12851,0.01099,0.00150197,0.00150197,0.00150197
7,51.3551,1.15903,3.11485,0.01009,0.57959,0.46521,0.56924,0.41852,0.96858,4.66484,0.01073,0.00146896,0.00146896,0.00146896
8,57.2256,1.17838,3.03393,0.01057,0.66761,0.49899,0.59586,0.46052,0.92206,4.2824,0.01014,0.00143595,0.00143595,0.00143595
9,63.2254,1.18505,2.80137,0.00999,0.65176,0.55495,0.62344,0.47804,1.00466,3.86511,0.01184,0.00140295,0.00140295,0.00140295
10,69.0295,1.15879,2.60162,0.00901,0.62255,0.55859,0.64241,0.45908,1.05643,3.71059,0.01265,0.00136994,0.00136994,0.00136994
11,75.0488,1.19627,2.49676,0.01075,0.7388,0.57702,0.64617,0.4338,1.22526,3.43295,0.01566,0.00133693,0.00133693,0.00133693
12,81.0287,1.22962,2.38248,0.00967,0.64739,0.56651,0.63705,0.48079,1.03986,3.17756,0.01269,0.00130393,0.00130393,0.00130393
13,86.984,1.21091,2.36829,0.0115,0.68642,0.62267,0.6814,0.50178,1.02794,2.9527,0.01223,0.00127092,0.00127092,0.00127092
14,92.8892,1.21082,2.20824,0.00918,0.78342,0.60505,0.68766,0.52787,0.91806,2.76983,0.01016,0.00123791,0.00123791,0.00123791
15,98.9015,1.07791,2.11162,0.01003,0.64923,0.57172,0.66212,0.53295,0.87496,2.49314,0.01071,0.00120491,0.00120491,0.00120491
16,104.852,1.07848,1.98978,0.00799,0.65384,0.65657,0.65939,0.53062,0.91047,2.41133,0.0109,0.0011719,0.0011719,0.0011719
17,110.848,1.11804,1.98909,0.00874,0.60963,0.67298,0.65841,0.5164,0.89009,2.40712,0.01026,0.00113889,0.00113889,0.00113889
18,116.748,1.15208,1.916,0.00845,0.72215,0.67558,0.69949,0.55269,0.93501,2.27985,0.01148,0.00110589,0.00110589,0.00110589
19,122.767,1.05959,1.66355,0.00907,0.7601,0.64949,0.72225,0.56596,0.91846,2.17323,0.01109,0.00107288,0.00107288,0.00107288
20,128.723,1.13854,1.74271,0.00933,0.74961,0.70505,0.76081,0.59718,0.90379,1.98535,0.01076,0.00103987,0.00103987,0.00103987
21,134.778,0.99492,1.62354,0.00794,0.73329,0.65448,0.75281,0.60915,0.86734,1.86437,0.00997,0.00100687,0.00100687,0.00100687
22,140.93,1.0648,1.47179,0.00854,0.85553,0.62465,0.75343,0.59458,0.94645,1.81362,0.0107,0.000973861,0.000973861,0.000973861
23,147.047,0.94236,1.6245,0.00892,0.88906,0.67071,0.77681,0.61,0.86693,1.75296,0.01006,0.000940855,0.000940855,0.000940855
24,153.044,1.08094,1.59612,0.01011,0.80857,0.66869,0.7718,0.5974,0.94582,1.72624,0.01022,0.000907848,0.000907848,0.000907848
25,159.518,1.13748,1.39615,0.00775,0.78296,0.67677,0.76523,0.60656,0.89453,1.73045,0.01035,0.000874842,0.000874842,0.000874842
26,165.591,0.94455,1.36006,0.00802,0.79173,0.73131,0.77022,0.6087,0.85919,1.65053,0.01023,0.000841835,0.000841835,0.000841835
27,172.38,1.10962,1.46336,0.00848,0.88724,0.65253,0.77188,0.61498,0.85758,1.61102,0.01006,0.000808828,0.000808828,0.000808828
28,178.721,0.97201,1.1694,0.00689,0.81701,0.66437,0.78204,0.64085,0.74868,1.62572,0.00813,0.000775822,0.000775822,0.000775822
