epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3506,1.17932,4.53862,0.0092,0.01228,0.93893,0.65816,0.34545,1.35733,6.44132,0.0103,0.000468772,0.000468772,0.000468772
2,78.6144,1.27504,2.9503,0.01017,0.75924,0.67176,0.75742,0.36864,1.6432,4.05766,0.01337,0.000926393,0.000926393,0.000926393
3,117.183,1.33367,2.18866,0.01049,0.7643,0.67176,0.73577,0.38072,1.79145,2.57579,0.01462,0.00136515,0.00136515,0.00136515
4,156.042,1.34291,1.71836,0.01098,0.68526,0.74046,0.7424,0.33787,1.82207,1.87406,0.01463,0.00134412,0.00134412,0.00134412
5,194.28,1.34081,1.41995,0.01121,0.80147,0.58779,0.7309,0.34962,1.71499,2.20108,0.01392,0.00131582,0.00131582,0.00131582
6,232.395,1.32717,1.2677,0.01056,0.88568,0.76881,0.86771,0.44245,1.72906,1.00401,0.01408,0.00128753,0.00128753,0.00128753
7,270.937,1.34969,1.17595,0.01143,0.77404,0.81679,0.8658,0.43239,1.62723,0.95678,0.01229,0.00125923,0.00125923,0.00125923
8,309.887,1.33534,1.10039,0.01069,0.90239,0.74046,0.84132,0.39407,1.60671,0.97944,0.01287,0.00123094,0.00123094,0.00123094
9,349.357,1.307,1.05822,0.01083,0.85904,0.83206,0.90116,0.46707,1.57678,0.88523,0.01263,0.00120265,0.00120265,0.00120265
10,387.252,1.27734,1.0053,0.01037,0.89096,0.74845,0.83399,0.39044,1.65671,0.89645,0.01295,0.00117435,0.00117435,0.00117435
11,424.913,1.29002,0.98926,0.01018,0.79434,0.79389,0.84798,0.39227,1.62186,0.89657,0.01289,0.00114606,0.00114606,0.00114606
12,462.519,1.31369,0.92731,0.01018,0.79806,0.8626,0.87428,0.42239,1.64883,0.70351,0.01312,0.00111776,0.00111776,0.00111776
13,500.128,1.24532,0.85384,0.00975,0.92116,0.8027,0.91543,0.45485,1.78222,0.99687,0.01356,0.00108947,0.00108947,0.00108947
14,537.839,1.21709,0.8654,0.00974,0.84799,0.84733,0.90362,0.44881,1.68817,0.72587,0.01328,0.00106118,0.00106118,0.00106118
15,575.47,1.23078,0.80787,0.00982,0.80373,0.80916,0.81464,0.42247,1.69,0.85339,0.01349,0.00103288,0.00103288,0.00103288
16,612.811,1.23759,0.82797,0.00966,0.91096,0.81679,0.9069,0.45035,1.60643,0.71887,0.01297,0.00100459,0.00100459,0.00100459
17,650.721,1.21949,0.81958,0.00918,0.95323,0.76336,0.86042,0.44604,1.61394,0.83652,0.01213,0.000976293,0.000976293,0.000976293
18,688.299,1.20193,0.77377,0.00951,0.86604,0.83897,0.90361,0.4679,1.59965,0.70119,0.0121,0.000947999,0.000947999,0.000947999
19,725.73,1.1795,0.76606,0.00918,0.89837,0.80916,0.87122,0.45641,1.64808,0.81998,0.0125,0.000919704,0.000919704,0.000919704
20,763.051,1.20314,0.7722,0.00912,0.95584,0.80916,0.91059,0.47579,1.66589,0.62378,0.01279,0.00089141,0.00089141,0.00089141
21,800.937,1.17288,0.72308,0.00897,0.83695,0.87023,0.87264,0.45473,1.8354,0.69876,0.01386,0.000863116,0.000863116,0.000863116
22,838.654,1.16131,0.7034,0.00874,0.89476,0.84378,0.89819,0.45181,1.75375,0.79886,0.013,0.000834822,0.000834822,0.000834822
23,876.769,1.13445,0.71576,0.00866,0.90753,0.82408,0.90297,0.47229,1.39856,0.70033,0.01048,0.000806528,0.000806528,0.000806528
24,914.673,1.13176,0.69032,0.00828,0.94841,0.84199,0.90354,0.4611,1.59997,0.63359,0.01174,0.000778233,0.000778233,0.000778233
25,1871.07,1.11513,0.66786,0.00826,0.92593,0.80916,0.88535,0.44857,1.63133,0.7266,0.01208,0.000749939,0.000749939,0.000749939
26,1908.48,1.13722,0.66082,0.00847,0.93889,0.82094,0.9159,0.47783,1.6028,0.64105,0.01203,0.000721645,0.000721645,0.000721645
27,1945.8,1.11736,0.66705,0.00823,0.93579,0.89004,0.94175,0.48569,1.59739,0.60109,0.01158,0.000693351,0.000693351,0.000693351
28,2210.16,1.12716,0.67894,0.00806,0.92598,0.80916,0.87847,0.42703,1.62364,0.67245,0.01281,0.000665057,0.000665057,0.000665057
29,2247.73,1.06866,0.62787,0.00773,0.93119,0.82644,0.91721,0.46976,1.58,0.65419,0.01211,0.000636762,0.000636762,0.000636762
30,2285.17,1.0603,0.61836,0.00771,0.96013,0.82443,0.93383,0.48688,1.5284,0.62531,0.01146,0.000608468,0.000608468,0.000608468
31,2322.7,1.07213,0.59581,0.00773,0.95924,0.89823,0.93129,0.47113,1.57754,0.55564,0.01206,0.000580174,0.000580174,0.000580174
32,2360.25,1.05603,0.59391,0.00757,0.93237,0.8855,0.9481,0.49288,1.56978,0.57539,0.01153,0.00055188,0.00055188,0.00055188
33,2397.71,1.05307,0.61222,0.0075,0.92392,0.8855,0.9332,0.48946,1.60088,0.63029,0.01203,0.000523586,0.000523586,0.000523586
34,2435.19,1.04348,0.59459,0.00742,0.95692,0.90076,0.9349,0.50385,1.52185,0.59156,0.0115,0.000495291,0.000495291,0.000495291
35,2472.94,1.03089,0.5693,0.00727,0.96679,0.88889,0.94631,0.51058,1.55299,0.57963,0.0116,0.000466997,0.000466997,0.000466997
36,2510.47,1.03626,0.5629,0.00724,0.94958,0.87786,0.92486,0.4901,1.56061,0.62916,0.01159,0.000438703,0.000438703,0.000438703
37,2548.16,0.99674,0.53922,0.00718,0.94908,0.9084,0.94095,0.50037,1.54549,0.54992,0.01166,0.000410409,0.000410409,0.000410409
38,2585.85,1.01563,0.54421,0.00716,0.96694,0.89317,0.93662,0.49434,1.46364,0.54385,0.01101,0.000382115,0.000382115,0.000382115
39,2623.29,0.99877,0.52085,0.00721,0.94461,0.91603,0.94796,0.48937,1.44618,0.56715,0.01033,0.00035382,0.00035382,0.00035382
40,2660.77,1.00899,0.54764,0.00707,0.99143,0.88351,0.94469,0.49309,1.45799,0.57085,0.01056,0.000325526,0.000325526,0.000325526
41,2697.36,0.95624,0.41712,0.00773,0.92517,0.87786,0.92589,0.46226,1.47228,0.58612,0.01096,0.000297232,0.000297232,0.000297232
42,2733.71,0.92467,0.39179,0.0073,0.91372,0.88928,0.9268,0.46321,1.49721,0.56853,0.01102,0.000268938,0.000268938,0.000268938
43,2770.27,0.91056,0.38928,0.00728,0.95207,0.87023,0.92652,0.48726,1.45256,0.54772,0.01069,0.000240644,0.000240644,0.000240644
44,2806.68,0.90263,0.38563,0.00707,0.9823,0.89313,0.93089,0.48811,1.50835,0.53114,0.01109,0.000212349,0.000212349,0.000212349
45,2843.08,0.88465,0.38104,0.00693,0.95123,0.89331,0.93568,0.48333,1.51405,0.55851,0.01096,0.000184055,0.000184055,0.000184055
46,2879.76,0.88008,0.35669,0.00684,0.95231,0.91457,0.93057,0.47368,1.47953,0.55587,0.01074,0.000155761,0.000155761,0.000155761
47,2916.05,0.8646,0.35652,0.00677,0.97531,0.90482,0.9377,0.4872,1.48441,0.5596,0.01065,0.000127467,0.000127467,0.000127467
48,2952.25,0.86903,0.36023,0.00688,0.96484,0.8855,0.92555,0.4786,1.46676,0.55328,0.01068,9.91726e-05,9.91726e-05,9.91726e-05
49,2988.44,0.86969,0.35874,0.00651,0.95927,0.89883,0.92655,0.48299,1.46331,0.54954,0.01059,7.08784e-05,7.08784e-05,7.08784e-05
50,3024.65,0.85127,0.34849,0.00646,0.95933,0.90022,0.92716,0.4852,1.44884,0.55269,0.0104,4.25842e-05,4.25842e-05,4.25842e-05
